auth1
Suzanne Collins
J.K. Rowling
Dan Brown
Harper Lee
Khaled Hosseini
J.D. Salinger
George R.R. Martin
Anne Frank
Rick Riordan
Cassandra Clare
Alice Sebold
Shel Silverstein
John Steinbeck
Markus Zusak
Audrey Niffenegger
Charlotte Brontë
Nicholas Sparks
Elizabeth Gilbert
Douglas Adams
John Green
E.B. White
Sara Gruen
James Dashner
Yann Martel
Mitch Albom
Orson Scott Card
Philip Pullman
Sue Monk Kidd
Mark Haddon
Malcolm Gladwell
Helen Fielding
Ransom Riggs
Diana Gabaldon
Gayle Forman
Roald Dahl
Jeannette Walls
Lauren Weisberger
Gillian Flynn
Patrick Rothfuss
Madeleine L'Engle
Ally Condie
S.E. Hinton
Rainbow Rowell
Becca Fitzpatrick
Victor Hugo
Jeffrey Eugenides
Jon Krakauer
William Goldman
Marissa Meyer
Leo Tolstoy
Maurice Sendak
Sophie Kinsella
Laura Hillenbrand
Steven D. Levitt
Stephen King
Alexandre Dumas
Frank Herbert
Ann Brashares
Emily Giffin
Jay Asher
Lauren Kate
Nathaniel Hawthorne
Amy Tan
Gregory Maguire
Thomas Harris
Kiera Cass
Emma Donoghue
Kami Garcia
Truman Capote
Ken Kesey
Wally Lamb
Tracy Chevalier
Eoin Colfer
Sarah J. Maas
Rebecca Wells
Robert Galbraith
Ernest Cline
Sylvia Plath
Hermann Hesse
Frank McCourt
Jonathan Safran Foer
Anita Diamant
Laurie Halse Anderson
Max Brooks
Kristin Cashore
Herman Melville
Janet Evanovich
Mindy Kaling
Philippa Gregory
Alice Walker
Anne Rice
Stephanie Perkins
Gail Carson Levine
Maggie Stiefvater
R.J. Palacio
Erik Larson
Pittacus Lore
Graeme Simsion
H.G. Wells
Katherine Paterson
Tatiana de Rosnay
Deborah Harkness
Cecelia Ahern
Lois Lowry
Daphne du Maurier
Jerry Spinelli
Stephen R. Covey
James Patterson
Brandon Sanderson
Tom Clancy
Robert Louis Stevenson
Lisa See
Laini Taylor
Homer
Eric Carle
Augusten Burroughs
Jhumpa Lahiri
Terry Pratchett
Fredrik Backman
Margaret Wise Brown
Greg Mortenson
Rick Yancey
Lisa Genova
Maya Angelou
Tennessee Williams
Maria Semple
L. Frank Baum
Jennifer Weiner
Frances Mayes
Frank Miller
Arthur Conan Doyle
Mario Puzo
Jeff Kinney
Colleen McCullough
Erich Maria Remarque
Tana French
Haruki Murakami
Terry Goodkind
Art Spiegelman
Hunter S. Thompson
Umberto Eco
Charles Dickens
Rhonda Byrne
Libba Bray
Robin Hobb
Janet Fitch
David Nicholls
Jonathan Franzen
Colleen Hoover
Lee Child
Paula McLain
Virginia Woolf
Barack Obama
Tahereh Mafi
Jean M. Auel
Gary Paulsen
Laura Joffe Numeroff
Jeanne DuPrau
P.D. Eastman
Simone Elkeles
Ursula K. Le Guin
Kate Morton
Leigh Bardugo
Elizabeth Kostova
Garth Nix
Ally Carter
Daniel Defoe
Frances Hodgson Burnett
S.C. Stephens
Alexander McCall Smith
Lev Grossman
Seth Grahame-Smith
Fannie Flagg
Billie Letts
Unknown
Patricia Cornwell
James Frey
Jamie Ford
S.J. Watson
Chelsea Handler
Sylvain Reynard
Jandy Nelson
Donna Tartt
Laura Ingalls Wilder
Jon Scieszka
Michael  Grant
Scott Lynch
Ray Bradbury
Bill Watterson
Justin Cronin
Sophocles
William Gibson
Don Freeman
Tammara Webber
Chris Cleave
Gary Chapman
Pierce Brown
Junot Díaz
Neal Stephenson
Jared Diamond
Robert Munsch
Robert T. Kiyosaki
Melissa de la Cruz
Gustave Flaubert
Charles Frazier
Michael Crichton
Richard Bach
Jenny  Lawson
Susan Ee
Nicola Yoon
Kathleen Grissom
Corrie ten Boom
Jeff Lindsay
Ruth Ware
Rachel Hawkins
Stephen Hawking
Chris Van Allsburg
Tim O'Brien
Tim LaHaye
John Berendt
Michael Scott
Melissa Marr
Michael Pollan
Joe Abercrombie
Laurell K. Hamilton
Ludwig Bemelmans
Mikhail Bulgakov
E.L. Konigsburg
E.M. Forster
Bryan Lee O'Malley
Brian Selznick
Nick Hornby
Beatrix Potter
Marion Zimmer Bradley
Neal Shusterman
E.H. Gombrich
Kahlil Gibran
Agatha Christie
Dave Eggers
Alex Flinn
Vanessa Diffenbaugh
Bill Martin Jr.
Kody Keplinger
Hilary Mantel
Jennifer Niven
Jonathan Stroud
Susanna Clarke
Jonas Jonasson
Barbara Kingsolver
V.C. Andrews
Patrick Ness
Cynthia Hand
Maria V. Snyder
Diana Wynne Jones
Anthony Bourdain
Toni Morrison
Sharon Creech
Arthur Miller
Alice Clayton
Tamora Pierce
Louise Rennison
Wilkie Collins
Jeffery Deaver
J.A. Redmerski
Matthew Quick
Jostein Gaarder
Isabel Allende
Chris Bohjalian
Michael Ende
James Herriot
Neil Gaiman
Sue Grafton
Ellen Hopkins
Mary Roach
Robert C. O'Brien
Mary Kubica
Veronica Rossi
Michael Connelly
Jennifer Egan
Angie Sage
Raina Telgemeier
Alan Bradley
Beth Revis
Walter Isaacson
Astrid Lindgren
Eckhart Tolle
Albert Camus
Marie Kondō
Alexandra Bracken
Brian Jacques
Jennifer E. Smith
Kathy Reichs
Miguel Ruiz
Francis Chan
Jasper Fforde
Willa Cather
Patti Smith
Peter V. Brett
Doris Kearns Goodwin
Karen Joy Fowler
Larry Niven
Kazuo Ishiguro
Rachel Cohn
Frederick Forsyth
Mark Cotta Vaz
Sarah Dessen
James S.A. Corey
Elena Ferrante
Justin Halpern
Helen Simonson
Amor Towles
Annie Proulx
Shannon Hale
Ilona Andrews
Ruta Sepetys
Susan Beth Pfeffer
Ayn Rand
James C. Collins
Elizabeth George Speare
Bill Willingham
Lauren DeStefano
Salman Rushdie
Trenton Lee Stewart
Julian Barnes
Jules Verne
Huntley Fitzpatrick
Lionel Shriver
Michael   Lewis
Thomas Hardy
H.A. Rey
Rachel Joyce
Richard Dawkins
Scott Turow
Irvine Welsh
Rohinton Mistry
Christopher Paul Curtis
Philip K. Dick
John Scalzi
Michael Cunningham
Kimberly McCreight
Cora Carmack
Elizabeth Strout
Kurt Vonnegut Jr.
Ken Follett
Frank E. Peretti
Jane Hamilton
Geraldine Brooks
Caleb Carr
Masashi Kishimoto
Nicole Krauss
Claudia Gray
Arthur C. Clarke
Margaret Peterson Haddix
Bill O'Reilly
Kiersten White
Lisa McMann
Joe Haldeman
Kelley Armstrong
Andrea Cremer
Herman Koch
Gretchen Rubin
Anthony Horowitz
Raymond Chandler
Tess Gerritsen
Chetan Bhagat
Sarah Addison Allen
Phaidon Press
R.L. Mathewson
Hans Christian Andersen
Richard Feynman
Lloyd Alexander
Richard Wright
Liane Moriarty
Katy Evans
Robin McKinley
Brené Brown
Andrew Clements
Morgan Matson
Colson Whitehead
Henrik Ibsen
Arnold Lobel
Ira Levin
William S. Burroughs
Robin LaFevers
Michael Ondaatje
Joanne Harris
Chaim Potok
Anne Brontë
Harry Allard
Steven Erikson
Jon Stewart
Richard Bachman
Mark  Lawrence
David Baldacci
Donald Miller
Alison Bechdel
Sebastian Junger
Johann Wolfgang von Goethe
Marie Rutkoski
T.H. White
Anna Quindlen
Carrie Ryan
V.E. Schwab
Beverly Cleary
Anne Tyler
Craig Thompson
Sarah Dunant
Kendare Blake
Wendy Higgins
James McBride
Stephen Crane
Zadie Smith
Wendelin Van Draanen
Timothy Ferriss
Joe Hill
Colum McCann
Leon Uris
Anita Shreve
Marian Keyes
Patricia C. Wrede
John Wyndham
Roberto Aguirre-Sacasa
Alan Brennert
Jean Craighead George
Kylie Scott
Jane Green
Rae Carson
Amie Kaufman
Meg Wolitzer
Iain M. Banks
Brian Greene
Carl Sagan
Anna Godbersen
Curtis Sittenfeld
Dodie Smith
Elif Shafak
Amish Tripathi
Lee Strobel
Timothy Zahn
Renee Ahdieh
Hajime Isayama
Louis Sachar
Thomas L. Friedman
Nancy Horan
Dan Ariely
