auth1,booknum,original_publication_year,book_id,work_id,title,work_ratings_count
Suzanne Collins,1,2008.0,1,2792775,"The Hunger Games (The Hunger Games, #1)",4942365
J.K. Rowling,1,1997.0,2,4640799,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4800065
Dan Brown,1,2000.0,9,3338963,"Angels & Demons  (Robert Langdon, #1)",2078754
Harper Lee,1,1960.0,4,3275794,To Kill a Mockingbird,3340896
Khaled Hosseini,1,2003.0,11,3295919,The Kite Runner,1878095
J.D. Salinger,1,1951.0,8,3036731,The Catcher in the Rye,2120637
George R.R. Martin,1,1996.0,39,1466917,"A Game of Thrones (A Song of Ice and Fire, #1)",1442220
Anne Frank,1,1947.0,15,3532896,The Diary of a Young Girl,2024493
Rick Riordan,1,2005.0,41,3346751,"The Lightning Thief (Percy Jackson and the Olympians, #1)",1411114
Cassandra Clare,1,2007.0,51,2267189,"City of Bones (The Mortal Instruments, #1)",1241799
Alice Sebold,1,1999.0,1083,1822441,Lucky,82636
Shel Silverstein,1,1964.0,85,30530,The Giving Tree,708287
John Steinbeck,1,1935.0,3079,890203,Tortilla Flat,34569
Markus Zusak,1,2002.0,1087,2737065,I Am the Messenger,104510
Audrey Niffenegger,1,2003.0,38,2153746,The Time Traveler's Wife,1308667
Charlotte Brontë,1,1847.0,43,2977639,Jane Eyre,1286135
Nicholas Sparks,1,1996.0,44,1498135,"The Notebook (The Notebook, #1)",1076749
Elizabeth Gilbert,1,2006.0,40,3352398,"Eat, Pray, Love",1206597
Douglas Adams,1,1979.0,54,3078186,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1006479
John Green,1,2005.0,74,919292,Looking for Alaska,831285
E.B. White,1,1945.0,1222,2884160,Stuart Little,90474
Sara Gruen,1,2006.0,46,3441236,Water for Elephants,1108839
James Dashner,1,2009.0,91,6366642,"The Maze Runner (Maze Runner, #1)",777956
Yann Martel,1,2001.0,45,1392700,Life of Pi,1077431
Mitch Albom,1,1997.0,114,1995335,Tuesdays with Morrie,584397
Orson Scott Card,1,1985.0,70,2422333,"Ender's Game (Ender's Saga, #1)",873417
Philip Pullman,1,1985.0,7655,1128656,"The Ruby in the Smoke (Sally Lockhart, #1)",19279
Sue Monk Kidd,1,2001.0,57,3275013,The Secret Life of Bees,937393
Mark Haddon,1,2003.0,60,4259809,The Curious Incident of the Dog in the Night-Time,915790
Malcolm Gladwell,1,2000.0,127,2124255,The Tipping Point: How Little Things Can Make a Big Difference,499066
Helen Fielding,1,1996.0,75,3185154,"Bridget Jones's Diary (Bridget Jones, #1)",754498
Ransom Riggs,1,2011.0,139,14345371,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",672222
Diana Gabaldon,1,1991.0,137,2489796,"Outlander (Outlander, #1)",578842
Gayle Forman,1,2009.0,149,4422413,"If I Stay (If I Stay, #1)",567087
Roald Dahl,1,1961.0,335,2379261,James and the Giant Peach,289737
Jeannette Walls,1,2005.0,81,2944133,The Glass Castle,637866
Lauren Weisberger,1,2003.0,78,38765,"The Devil Wears Prada (The Devil Wears Prada, #1)",679845
Gillian Flynn,1,2006.0,244,3801,Sharp Objects,354838
Patrick Rothfuss,1,2007.0,192,2502879,"The Name of the Wind (The Kingkiller Chronicle, #1)",449372
Madeleine L'Engle,1,1962.0,117,948387,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",650094
Ally Condie,1,2010.0,166,9631645,"Matched (Matched, #1)",530680
S.E. Hinton,1,1967.0,90,1426690,The Outsiders,680437
Rainbow Rowell,1,2011.0,991,13785503,Attachments,119865
Becca Fitzpatrick,1,2009.0,202,6525609,"Hush, Hush (Hush, Hush, #1)",461802
Victor Hugo,1,1831.0,778,3043569,The Hunchback of Notre-Dame,133421
Jeffrey Eugenides,1,1993.0,557,812415,The Virgin Suicides,179190
Jon Krakauer,1,1990.0,6251,809841,Eiger Dreams: Ventures Among Men and Mountains,15074
William Goldman,1,1973.0,89,992628,The Princess Bride ,658042
Marissa Meyer,1,2012.0,252,15545385,"Cinder (The Lunar Chronicles, #1)",454146
Leo Tolstoy,1,1869.0,498,4912783,War and Peace,192992
Maurice Sendak,1,1962.0,4646,355618,Chicken Soup with Rice: A Book of Months (The Nutshell Library),25701
Sophie Kinsella,1,2000.0,108,3237433,"Confessions of a Shopaholic (Shopaholic, #1)",558004
Laura Hillenbrand,1,1999.0,767,17572,Seabiscuit: An American Legend,116984
Steven D. Levitt,1,2005.0,92,5397,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",549301
Stephen King,1,1974.0,237,1552134,Carrie,377650
Alexandre Dumas,1,1844.0,103,391568,The Count of Monte Cristo,601220
Frank Herbert,1,1965.0,126,3634639,Dune (Dune Chronicles #1),525976
Ann Brashares,1,2001.0,120,1058370,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",536604
Emily Giffin,1,2004.0,156,1789440,"Something Borrowed (Darcy & Rachel, #1)",435189
Jay Asher,1,2007.0,147,2588213,Thirteen Reasons Why,571281
Lauren Kate,1,2009.0,224,6678670,"Fallen (Fallen, #1)",408108
Nathaniel Hawthorne,1,1850.0,138,4925227,The Scarlet Letter,559246
Amy Tan,1,1989.0,118,1955658,The Joy Luck Club,525243
Gregory Maguire,1,1995.0,122,1479280,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",525498
Thomas Harris,1,1981.0,431,925503,"Red Dragon (Hannibal Lecter, #1)",205433
Kiera Cass,1,2009.0,5079,6812394,The Siren,32274
Emma Donoghue,1,2000.0,9158,220527,Slammerkin,12483
Kami Garcia,1,2009.0,182,6488966,"Beautiful Creatures (Caster Chronicles, #1)",458518
Truman Capote,1,1958.0,664,2518209,Breakfast at Tiffany's,158526
Ken Kesey,1,1962.0,129,2100252,One Flew Over the Cuckoo's Nest,514458
Wally Lamb,1,1992.0,306,1003370,She's Come Undone,268924
Tracy Chevalier,1,1997.0,4842,1294261,The Virgin Blue,24715
Eoin Colfer,1,2001.0,223,1334778,"Artemis Fowl (Artemis Fowl, #1)",399165
Sarah J. Maas,1,2012.0,393,11138426,"Throne of Glass (Throne of Glass, #1)",327865
Rebecca Wells,1,1992.0,3997,851747,Little Altars Everywhere,26559
Robert Galbraith,1,2013.0,253,22002305,"The Cuckoo's Calling (Cormoran Strike, #1)",340495
Ernest Cline,1,2011.0,215,14863741,Ready Player One,421819
Sylvia Plath,1,1963.0,178,1385044,The Bell Jar,442157
Hermann Hesse,1,1919.0,2097,5334697,Demian. Die Geschichte von Emil Sinclairs Jugend,49633
Frank McCourt,1,1996.0,179,2883783,"Angela's Ashes (Frank McCourt, #1)",419746
Jonathan Safran Foer,1,2002.0,587,886727,Everything Is Illuminated,144312
Anita Diamant,1,1997.0,150,1041558,The Red Tent,449217
Laurie Halse Anderson,1,1999.0,234,118521,Speak,372404
Max Brooks,1,2004.0,1056,818,The Zombie Survival Guide: Complete Protection from the Living Dead,86837
Kristin Cashore,1,2008.0,355,3270810,"Graceling (Graceling Realm, #1)",296630
Herman Melville,1,1851.0,194,2409320,"Moby-Dick or, The Whale",397963
Janet Evanovich,1,1981.0,7241,3173182,Full House (Full #1),18533
Mindy Kaling,1,2011.0,290,15237902,Is Everyone Hanging Out Without Me? (And Other Concerns),312931
Philippa Gregory,1,1987.0,6096,3969,"Wideacre  (The Wideacre Trilogy, #1)",18758
Alice Walker,1,1982.0,198,3300573,The Color Purple,400965
Anne Rice,1,1976.0,205,873132,"Interview with the Vampire (The Vampire Chronicles, #1)",393941
Stephanie Perkins,1,2010.0,363,7168450,"Anna and the French Kiss (Anna and the French Kiss, #1)",285344
Gail Carson Levine,1,1997.0,263,2485462,Ella Enchanted,345749
Maggie Stiefvater,1,2008.0,5815,3144132,"Lament: The Faerie Queen's Deception (Books of Faerie, #1)",28824
R.J. Palacio,1,2012.0,250,16319487,Wonder,377791
Erik Larson,1,1999.0,3208,1605,"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History",33342
Pittacus Lore,1,2010.0,340,10576999,"I Am Number Four (Lorien Legacies, #1)",270195
Graeme Simsion,1,2013.0,285,22084678,"The Rosie Project (Don Tillman, #1)",305509
H.G. Wells,1,1895.0,298,3234863,The Time Machine,303730
Katherine Paterson,1,1977.0,245,2237401,Bridge to Terabithia,353474
Tatiana de Rosnay,1,2007.0,231,2523229,Sarah's Key,347631
Deborah Harkness,1,2011.0,379,13190160,"A Discovery of Witches (All Souls Trilogy, #1)",249735
Cecelia Ahern,1,2003.0,269,2742631,P.S. I Love You,283413
Lois Lowry,1,1978.0,9974,827585,"Anastasia Krupnik (Anastasia Krupnik, #1)",12519
Daphne du Maurier,1,1935.0,6278,430524,Jamaica Inn,20557
Jerry Spinelli,1,1990.0,853,3264295,Maniac Magee,104657
Stephen R. Covey,1,1989.0,247,6277,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,333884
James Patterson,1,1980.0,4095,3035972,Cradle and All,27288
Brandon Sanderson,1,2005.0,1049,2908871,"Elantris (Elantris, #1)",105780
Tom Clancy,1,1984.0,288,1112006,"The Hunt for Red October (Jack Ryan Universe, #4)",278255
Robert Louis Stevenson,1,1882.0,293,3077988,Treasure Island,310515
Lisa See,1,2005.0,273,1453585,Snow Flower and the Secret Fan,290660
Laini Taylor,1,2011.0,535,13355552,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",228815
Homer,1,-762.0,2142,1474309,The Iliad/The Odyssey,51098
Eric Carle,1,1969.0,296,3144982,The Very Hungry Caterpillar Board Book,304528
Augusten Burroughs,1,2000.0,6500,1888390,Sellevision,13633
Jhumpa Lahiri,1,1999.0,662,3301398,Interpreter of Maladies,125062
