,author_id,avg1,avg2,count1,count2,avg1adj,avg2adj,countboth,weighting_factor,diff,diff_adj
0,Suzanne Collins,4.2797070946242215,4.133421959030757,22806,16549,4.4042706680132735,4.144207185110374,13862,0.05219185457667067,0.14628513559346423,0.2600634829028996
1,J.K. Rowling,4.351350114416476,4.229418151625471,21850,15657,4.40751143567932,4.2262258245726665,12461,0.0469169455980301,0.12193196279100516,0.1812856111066532
2,Dan Brown,3.6044160285480635,3.6209455324357407,13451,13072,3.6972318339100347,3.866061130334487,6936,0.026114752802177735,-0.016529503887677155,-0.1688292964244522
6,George R.R. Martin,4.339880284324729,4.299533119346367,10692,6854,4.498431509236668,4.303938654583479,5738,0.021604159685538617,0.040347164978362215,0.19449285465318944
4,Khaled Hosseini,4.16939675539455,4.217697729052467,12698,7662,4.452405857740586,4.243898186889819,5736,0.021596629480001656,-0.0483009736579163,0.20850767085076694
11,Shel Silverstein,4.338474721508141,4.311076292635892,7002,8297,4.390899689762151,4.388572905894519,3868,0.014563417508480893,0.027398428872248637,0.002326783867631299
9,Cassandra Clare,3.8450184501845017,4.013590033975085,6504,4415,4.122740760722957,4.031561909900189,3707,0.013957235962755603,-0.168571583790583,0.091178850822768
8,Rick Riordan,3.9923744412306075,4.03870808678501,7606,4056,4.252257676098735,4.052077062010837,3322,0.012507671396890779,-0.04633364555440256,0.20018061408789833
38,Patrick Rothfuss,4.499746707193515,4.483807005948447,3948,3026,4.665183537263626,4.489803485354098,2697,0.010154482166590737,0.015939701245068605,0.17538005190952877
22,James Dashner,3.75109692859992,3.716925107225338,5014,3031,4.032554576790502,3.715051704327844,2611,0.009830683328501452,0.03417182137458186,0.31750287246265785
37,Gillian Flynn,3.7404902789518175,3.78,3549,3950,3.856108982545764,3.89272030651341,2349,0.008844226403159674,-0.03950972104818229,-0.03661132396764577
24,Mitch Albom,3.8048289738430583,3.667697907188353,5467,5495,4.003044802087865,3.7803392779469336,2299,0.008655971264735671,0.13713106665470542,0.22270552414093103
34,Roald Dahl,3.925566343042071,4.046569439840901,4017,6034,3.9282254513430206,4.113606340819023,2271,0.00855054838721823,-0.12100309679883026,-0.18538088947600206
25,Orson Scott Card,4.25822126793988,3.899159663865546,8849,2618,4.6295594504973945,3.90383704405495,2111,0.007948131944261418,0.35906160407433374,0.7257224064424443
32,Diana Gabaldon,4.061166698131018,4.1549352750809065,5297,2472,4.489668428640077,4.166746756367131,2081,0.007835178861207017,-0.0937685769498886,0.32292167227294577
54,Stephen King,3.766634288489558,3.859462651313847,4118,3387,3.834099030117407,3.908116385911179,1959,0.007375836323452449,-0.09282836282428919,-0.07401735579377222
29,Malcolm Gladwell,3.8374224858452415,3.7810738653218627,3709,3371,4.0125720272393925,3.9140911471974857,1909,0.007187581185028445,0.056348620523378745,0.0984808800419068
70,Wally Lamb,3.7012987012987013,4.042270531400966,3850,3312,3.9882144961697112,4.08898055391868,1697,0.006389379398110672,-0.34097183010226484,-0.10076605774896885
18,Douglas Adams,4.109939759036145,4.135909090909091,9960,2200,4.530285035629453,4.139548693586699,1684,0.006340433062120431,-0.025969331872945922,0.39073634204275454
75,Robert Galbraith,3.794901845883387,3.950251256281407,3413,1990,4.0673736743605735,3.963194011228946,1603,0.006035459737873545,-0.15534941039801975,0.10417966313162763
19,John Green,3.865228534814182,3.5935511243105642,4682,2357,4.173003802281369,3.670468948035488,1578,0.005941332168661544,0.2716774105036177,0.502534854245881
33,Gayle Forman,3.7619589977220955,3.9416445623342176,3512,1885,4.031908104658584,3.955966815571155,1567,0.005899916038208263,-0.17968556461212204,0.07594128908742848
48,Marissa Meyer,4.0373079736649595,4.200647249190938,2734,1854,4.281150159744409,4.186581469648562,1565,0.0058923858326713026,-0.1633392755259786,0.0945686900958469
40,Ally Condie,3.5115884680610514,3.3651406508549364,3538,1813,3.769940672379697,3.3895847066578773,1517,0.00571166089978426,0.146447817206115,0.3803559657218196
73,Sarah J. Maas,4.165772793759142,4.420365535248042,2051,1532,4.354477611940299,4.431343283582089,1340,0.005045237709763288,-0.2545927414889002,-0.07686567164179081
43,Becca Fitzpatrick,3.709342560553633,3.854581673306773,2601,1506,4.098373353989156,3.8636715724244772,1291,0.004860747674107765,-0.14523911275313983,0.23470178156467858
64,Thomas Harris,3.9202577527184856,4.17183908045977,2483,3480,4.001558846453625,4.37879968823071,1283,0.004830626851959925,-0.25158132774128417,-0.37724084177708495
58,Emily Giffin,3.5839416058394162,3.6873065015479876,2877,1615,3.8990461049284577,3.750397456279809,1258,0.004736499282747922,-0.10336489570857132,0.14864864864864868
16,Nicholas Sparks,3.7269614411195473,3.6863406408094437,6717,1779,4.250417362270451,3.7896494156928213,1198,0.004510593116639119,0.04062080031010362,0.4607679465776293
101,Deborah Harkness,3.82181146025878,3.89020979020979,2705,1430,4.197625106022053,3.912637828668363,1179,0.004439056164037998,-0.06839832995101025,0.2849872773536899
60,Lauren Kate,3.491145218417946,3.6797047970479704,2541,1355,3.84938704028021,3.6961471103327495,1142,0.004299747361604235,-0.18855957863002448,0.1532399299474605
49,Leo Tolstoy,4.016680567139283,3.9339641237926277,2398,5073,4.193976970770594,4.16917626217892,1129,0.004250801025613994,0.0827164433466554,0.02480070859167416
144,Robin Hobb,4.050424929178471,4.134988363072149,1765,1289,4.229791099000908,4.14078110808356,1101,0.004145378148096552,-0.08456343389367849,0.08900999091734807
84,Kristin Cashore,4.008500772797527,4.022693997071742,2588,1366,4.314730100640439,4.039341262580055,1093,0.004115257325948711,-0.014193224274214877,0.27538883806038417
5,J.D. Salinger,3.710406301824212,4.167652859960552,14472,1521,4.310047846889952,4.201913875598086,1045,0.003934532393061668,-0.45724655813633985,0.10813397129186608
35,Jeannette Walls,4.139387720198393,3.9597839135654262,5847,1666,4.440384615384615,3.973076923076923,1040,0.003915706879219268,0.17960380663296638,0.467307692307692
56,Frank Herbert,4.131821282401091,3.7726218097447797,5864,1293,4.608108108108108,3.77992277992278,1036,0.0039006464681453482,0.3591994726563117,0.8281853281853278
31,Ransom Riggs,3.645645028759244,3.8662567255956954,4868,1301,4.075728155339806,3.8893203883495144,1030,0.0038780558515344675,-0.22061169683645154,0.18640776699029127
72,Eoin Colfer,3.6793040768631524,3.84,3851,1250,4.10871694417238,3.8648383937316355,1021,0.003844169926618147,-0.16069592313684744,0.24387855044074414
80,Jonathan Safran Foer,3.7684824902723735,3.8482523444160273,2056,3519,3.992133726647001,4.116027531956735,1017,0.003829109515544227,-0.07976985414365378,-0.12389380530973426
3,Harper Lee,4.3293692372171,3.208687863860278,19088,2233,4.64859437751004,3.216867469879518,996,0.0037500423574061453,1.1206813733568222,1.4317269076305221
117,Terry Pratchett,3.8773853024766547,3.84608619173263,2463,1137,3.9535603715170278,3.847265221878225,969,0.0036483845826571835,0.031299110744024805,0.10629514963880293
196,Pierce Brown,4.194708276797829,4.332383665716999,1474,1053,4.421761658031088,4.344041450777202,965,0.0036333241715832635,-0.13767538891916953,0.07772020725388629
137,Terry Goodkind,3.949873417721519,3.9627659574468086,1975,1128,4.281052631578947,3.9894736842105263,950,0.003576847630056062,-0.012892539725289698,0.29157894736842094
45,Jeffrey Eugenides,3.7523510971786833,3.9682991985752447,2233,5615,3.8483516483516484,4.304395604395604,910,0.0034262435193168597,-0.2159481013965614,-0.45604395604395576
116,Jhumpa Lahiri,4.050424628450106,3.8940740740740742,1884,2700,4.181111111111111,4.053333333333334,900,0.003388592491632059,0.15635055437603151,0.12777777777777732
67,Kami Garcia,3.475383110531464,3.67704280155642,3067,1028,3.933333333333333,3.690395480225989,885,0.003332115950104858,-0.20165969102495618,0.24293785310734428
108,Brandon Sanderson,4.05015923566879,4.303503427265803,1256,2626,4.089366515837104,4.506787330316742,884,0.003328350847336378,-0.25334419159701316,-0.4174208144796383
51,Sophie Kinsella,3.390295358649789,3.5058400718778078,3792,1113,3.876571428571429,3.5554285714285716,875,0.0032944649224200574,-0.11554471322801874,0.3211428571428572
39,Madeleine L'Engle,4.040078924651621,4.12280701754386,8109,1197,4.5423340961098395,4.162471395881007,874,0.0032906998196515773,-0.08272809289223826,0.3798627002288324
170,Lev Grossman,3.3954997836434444,3.8207171314741037,2311,1004,3.894923258559622,3.8299881936245574,847,0.0031890420449026155,-0.42521734783065934,0.06493506493506462
223,Joe Abercrombie,4.01033386327504,4.122680412371134,1258,970,4.156324582338902,4.126491646778043,838,0.003155156119986295,-0.11234654909609354,0.029832935560858864
30,Helen Fielding,3.6366993096805267,3.338582677165354,6229,1143,3.991636798088411,3.3524492234169654,837,0.0031513910172178148,0.2981166325151725,0.6391875746714457
186,Scott Lynch,4.216791979949875,4.133123689727463,1596,954,4.505454545454546,4.130909090909091,825,0.0031062097839960542,0.08366829022241173,0.37454545454545496
96,Pittacus Lore,3.7580573951434877,4.023858921161826,2265,964,4.1905940594059405,4.076732673267327,808,0.003042203036931893,-0.26580152601833795,0.11386138613861352
20,E.B. White,3.813546423135464,4.110318389947822,1314,9391,3.8533834586466167,4.291979949874687,798,0.0030045520092470924,-0.29677196681235785,-0.4385964912280702
189,Justin Cronin,3.9490156486622916,3.8847695390781563,1981,998,4.359897172236503,3.8946015424164524,778,0.002929249953877491,0.06424610958413535,0.465295629820051
135,Tana French,3.676360225140713,3.9774358974358974,2132,975,4.053805774278215,3.9973753280839897,762,0.00286900830958181,-0.3010756722951844,0.05643044619422577
149,Lee Child,3.9066213921901527,3.896401308615049,1767,917,4.10918774966711,3.933422103861518,751,0.002827592179128529,0.010220083575103622,0.17576564580559229
97,Graeme Simsion,3.950678175092478,3.403567447045708,3244,897,4.2723631508678235,3.4085447263017357,749,0.0028200619735915694,0.5471107280467704,0.8638184245660878
147,Jonathan Franzen,3.6734037666513553,3.698355601233299,2177,1946,4.121495327102804,4.032042723631509,749,0.0028200619735915694,-0.02495183458194372,0.0894526034712948
164,Garth Nix,4.08569587628866,4.238095238095238,1552,924,4.392663043478261,4.226902173913044,736,0.0027711156376013283,-0.15239936180657843,0.16576086956521685
42,Rainbow Rowell,3.8707423580786027,4.05111821086262,1145,3756,3.9248633879781423,4.2363387978142075,732,0.0027560552265274083,-0.1803758527840169,-0.31147540983606525
112,Laini Taylor,3.9221004039238316,4.149305555555555,1733,864,4.3134535367545075,4.15117891816921,721,0.0027146390960741274,-0.22720515163172372,0.16227461858529768
44,Victor Hugo,3.856726849155504,4.12,1717,4750,3.945530726256983,4.356145251396648,716,0.002695813582231727,-0.2632731508444963,-0.4106145251396649
91,Stephanie Perkins,4.038361508452536,3.924324324324324,1538,925,4.3879551820728295,3.980392156862745,714,0.002688283376694767,0.11403718412821195,0.40756302521008436
10,Alice Sebold,3.631722880583409,3.630555793440096,1097,11677,3.713681241184767,4.133991537376587,709,0.0026694578628523665,0.0011670871433131502,-0.4203102961918197
62,Amy Tan,3.880875724404379,3.904587155963303,6212,1090,4.237410071942446,3.9366906474820142,695,0.0026167464240936457,-0.02371143155892419,0.3007194244604321
57,Ann Brashares,3.5875598086124403,3.6497641509433962,4180,848,3.901591895803184,3.638205499276411,691,0.0026016860130197252,-0.06220434233095595,0.26338639652677287
188,Bill Watterson,4.661406025824964,4.652522017614091,1394,1249,4.716374269005848,4.714912280701754,684,0.002575330293640365,0.008884008210872985,0.0014619883040936088
13,Markus Zusak,3.9943661971830986,4.307004040792765,1065,10394,4.047832585949178,4.699551569506727,669,0.002518853752113164,-0.3126378436096662,-0.651718983557549
154,Jean M. Auel,3.84646878198567,3.8227383863080684,2931,818,4.23168908819133,3.8639760837070254,669,0.002518853752113164,0.023730395677601823,0.36771300448430466
162,Leigh Bardugo,3.9661016949152543,3.9920844327176783,1239,758,4.181679389312977,4.019847328244275,655,0.002466142313354443,-0.025982737802423994,0.16183206106870252
224,Laurell K. Hamilton,3.929225645295587,4.043596730245231,1201,734,4.126738794435858,4.063369397217929,647,0.0024360214912066023,-0.11437108494964443,0.06336939721792945
53,Steven D. Levitt,3.888364104765994,3.8546307151230947,4658,853,4.372274143302181,3.869158878504673,642,0.002417195977364202,0.03373338964289907,0.5031152647975077
129,Frank Miller,4.264895330112721,4.267430754536772,1242,1047,4.356120826709062,4.294117647058823,629,0.002368249641373961,-0.0025354244240505253,0.062003179650238494
168,S.C. Stephens,3.860082304526749,4.229619565217392,972,736,4.255961844197138,4.24483306836248,629,0.002368249641373961,-0.36953726069064263,0.0111287758346581
259,Tamora Pierce,4.2323733862959285,4.267716535433071,1007,762,4.387888707037643,4.274959083469722,611,0.0023004777915413203,-0.03534314913714276,0.11292962356792113
143,Libba Bray,3.632967032967033,3.9764216366158114,1820,721,4.137190082644628,4.0,605,0.0022778871749304396,-0.34345460364877844,0.1371900826446284
245,Jonathan Stroud,3.9054276315789473,4.062275449101796,1216,835,4.2441471571906355,4.132107023411371,598,0.0022515314555510793,-0.15684781752284893,0.11204013377926447
14,Audrey Niffenegger,3.863786709431693,3.1004484304932736,9977,1115,4.360134003350084,3.0753768844221105,597,0.002247766352782599,0.7633382789384195,1.2847571189279736
109,Tom Clancy,4.019338043882485,4.0386803185438,2689,879,4.385521885521886,4.122895622895623,594,0.002236471044477159,-0.019342274661314995,0.262626262626263
202,Melissa de la Cruz,3.536823425022183,3.8030513176144245,1127,721,3.888695652173913,3.8156521739130436,575,0.002164934091876038,-0.26622789259224167,0.07304347826086932
27,Sue Monk Kidd,3.9258022187760946,2.9385775862068964,8383,928,4.10507880910683,2.9194395796847634,571,0.0021498736808021174,0.9872246325691982,1.1856392294220668
87,Mindy Kaling,3.7122026093630085,3.752851711026616,2606,1052,3.966666666666667,3.8421052631578947,570,0.0021461085780336373,-0.04064910166360747,0.1245614035087721
161,Kate Morton,3.8452380952380953,3.9979476654694714,1008,1949,3.9592198581560285,4.216312056737588,564,0.002123517961422757,-0.1527095702313761,-0.25709219858155974
220,Michael Scott,3.727923627684964,3.9527896995708156,1257,699,4.029143897996357,3.9817850637522767,549,0.002067041419895556,-0.2248660718858515,0.04735883424408005
297,Peter V. Brett,4.164691943127962,4.1528662420382165,844,628,4.332110091743119,4.172477064220184,545,0.0020519810088216357,0.011825701089745344,0.1596330275229354
52,Laura Hillenbrand,4.109803921568627,4.439370766877867,1530,4577,4.262962962962963,4.542592592592593,540,0.0020331554949792356,-0.3295668453092402,-0.2796296296296301
130,Arthur Conan Doyle,4.105731225296442,3.922972972972973,2024,740,4.126177024482109,3.919020715630885,531,0.001999269570062915,0.18275825232346943,0.20715630885122405
83,Max Brooks,3.7214566929133857,3.9387096774193546,1016,3720,3.77988614800759,4.275142314990513,527,0.0019842091589889945,-0.21725298450596897,-0.4952561669829225
